stage,Alanine and aspartate metabolism,Arginine and Proline Metabolism,Citric acid cycle,Eicosanoid metabolism,Fatty acid oxidation,Glycerophospholipid metabolism,"Glycine, serine, alanine and threonine metabolism",Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Keratan sulfate degradation,Lysine metabolism,Methionine and cysteine metabolism,Miscellaneous,N-glycan degradation,Pentose phosphate pathway,Pyruvate metabolism,Sphingolipid metabolism,Tryptophan metabolism,Tyrosine metabolism,Urea cycle,"Valine, leucine, and isoleucine metabolism",Vitamin C metabolism
bc,0.15557448855632683,0.4435187631675124,0.3719414471693443,0.4934785937242272,0.2462056468776783,0.5856931382779134,0.006076068053211816,0.35415510405014905,0.3324142383021882,0.3388349376507508,0.4219459651974652,0.20601705475898932,0.6054502336581338,0.3388349376507508,0.2481858391378179,0.11945656863508447,1.0,0.46648136318561384,0.3180136017208176,0.19190128627999598,0.13913149125499275,0.0
bc,0.1370168404391184,0.4328567907948802,0.3650558039042477,0.49356962308509067,0.19215465784960045,0.6902270462560518,0.27987285841109444,0.3497810498475701,0.28679128668639275,0.34108552770904604,0.4132902644349172,0.13030688310052593,0.6072028006986753,0.34108552770904604,0.2426938807706352,0.174503228932044,1.0,0.4770100727442264,0.224319465527388,0.17037561390255002,0.14051634892655526,0.001548660912385503
bc,0.12942306434604492,0.43769497199973983,0.3752227331725452,0.4845956667178095,0.22005731570191758,0.5004316629786685,0.07699135678072727,0.3947357310778695,0.26868613121344553,0.3589857447091703,0.385408371667191,0.1089146965314032,0.605723737099269,0.3589857447091703,0.23989903813749658,0.14403708205776097,0.5337354053544583,0.4684132641084343,0.3171158379867265,0.19673352648612077,0.1272112273996009,0.02666954855095151
bc,0.15841208118538583,0.42684850702121335,0.39409656313374547,0.5784634256967639,0.3098190196762024,0.380656426218124,0.03369571577569205,0.3290959684384055,0.2783098815672659,0.02482895996229585,0.21710918435559332,0.14728617618201045,0.5772094298819669,0.02482895996229585,0.24065232267450404,0.12492175759867499,0.8186404240342583,0.4947588784255026,0.3342187765526461,0.21006206756895965,0.10453018373479236,0.0
bc,0.11731489545018171,0.4532182834327583,0.33361273613707326,0.5377286098235614,0.25597897559098554,0.5035843437919415,0.1321791746547456,0.5292142035179035,0.36618563278889815,0.4248949280337904,0.37784245550642387,0.1319916976884895,0.5522802068010935,0.4248949280337904,0.17464427041616312,0.18500784909452025,0.5877640021138287,0.4672903211701,0.31820564215686514,0.20382103872295065,0.12159576582471382,0.19589132434566905
bc,0.0,0.5589730911994606,0.1393521060620599,0.46935178272339845,0.2520940143008498,0.7499770077469261,0.3426677219483225,0.3783333198278844,0.27975751566519547,0.06692758381393465,0.5035392597437596,0.08206412821594339,0.6120952019801216,0.06692758381393465,0.25399859804001224,0.12704617300058466,0.5557961952173166,0.5452854881086069,0.4150935679315485,0.2286066805525356,0.2076012226702748,0.0336308732968703
bc,0.1787257614163165,0.50278836237466,0.4394376253102723,0.4925845540734443,0.16595313730433459,0.5204853478307366,0.01986328317555848,0.38941243362893607,0.3387012998152697,0.2605674236172394,0.4726299429410714,0.0,0.7835021940613474,0.2605674236172394,0.22603558924250697,0.13045470647082627,1.0,0.5186338965346676,0.3813924481095811,0.19128003746250216,0.17691215905732924,0.008659913370060902
bc,0.1457045747521204,0.4400707501455573,0.38667817746695576,0.49353474325523605,0.11689161862294513,0.5005388881648419,0.0,0.35415510405014905,0.27402485691567424,0.3388349376507508,0.41886323954799065,0.14410753941631393,0.6724077241463622,0.3388349376507508,0.239305595584404,0.12712749711154134,1.0,0.4684132641084343,0.31672093904583654,0.19930071620516054,0.0666131501123458,0.0
bc,0.14374551831317575,0.3164384582930544,0.37188115172324127,0.4303065594745622,0.26339452709344136,0.45141002895212484,0.042530782900619686,0.3145938084812975,0.27861677886420333,0.18686631394893197,0.41919527214740365,0.14156769971091168,0.7080214554434698,0.18686631394893197,0.29251707902674073,0.16626543445446446,0.361111282200702,0.4503243424544672,0.3032218599484387,0.1980822412136966,0.1405941240383047,0.0951263406594281
bc,0.1581055868185498,0.4701590420865477,0.3832310202807276,0.4915844440776944,0.1849650509884106,0.5353414971454092,0.009115428299762716,0.31031977029823105,0.23691931443830438,0.45722487984950994,0.4206358827703817,0.14210801352962976,0.6803720620729126,0.45722487984950994,0.2386850806907102,0.15316169231189725,1.0,0.46779105905808277,0.2863304452008177,0.20117241842379174,0.10853117332026606,0.0
