protein	12HPET_c
protein	12RHPET_c
protein	12harachd_r
protein	15HPET_c
protein	18harachd_r
protein	5HPET_c
protein	C01041_c
protein	C03577_x
protein	HC02202_m
protein	HC02202_r
protein	leuktrB4woh_m
protein	HC02203_m
protein	HC02203_r
protein	C05957_c
protein	C05957_m
protein	C05957_r
protein	HC02213_n
protein	C11304_c
protein	C11304_m
protein	C11304_r
protein	C11695_c
protein	C13856_c
protein	C13856_g
protein	C13856_r
protein	CE0737_c
protein	CE0955_r
protein	CE1243_c
protein	CE1447_c
protein	CE2053_c
protein	CE2053_m
protein	CE2053_r
protein	leuktrB4wcooh_c
protein	leuktrB4wcooh_m
protein	leuktrB4wcooh_x
protein	CE2056_c
protein	CE2056_r
protein	CE2445_c
protein	CE2446_m
protein	CE2446_x
protein	dlnlcg_r
protein	CE2537_c
protein	tmndnc_n
protein	tmndnc_r
protein	tmndnc_x
protein	CE3481_c
protein	CE3481_g
protein	CE3481_r
protein	CE3554_c
protein	CE3554_r
protein	CE4876_c
protein	CE4876_m
protein	CE4876_r
protein	CE4877_c
protein	CE4936_c
protein	CE4936_n
protein	CE4987_c
protein	CE4988_c
protein	CE4988_m
protein	CE4988_r
protein	CE4988_x
protein	CE4989_c
protein	CE4989_r
protein	CE4990_c
protein	CE4990_m
protein	CE4990_r
protein	CE4990_x
protein	CE4993_c
protein	CE4993_m
protein	CE4993_x
protein	CE5138_c
protein	CE5138_r
protein	CE5139_c
protein	CE5139_r
protein	CE5140_c
protein	CE5140_r
protein	CE5141_c
protein	CE5178_c
protein	CE5179_c
protein	CE5179_r
protein	CE5304_c
protein	CE5307_c
protein	CE5307_m
protein	CE5307_x
protein	CE5319_c
protein	CE5319_m
protein	CE5319_x
protein	CE5329_c
protein	CE5329_m
protein	CE5329_x
protein	CE5331_c
protein	CE5331_m
protein	CE5331_x
protein	CE5337_c
protein	CE5337_m
protein	CE5337_x
protein	CE5341_m
protein	CE5341_x
protein	CE5342_c
protein	CE5342_m
protein	CE5342_r
protein	CE5342_x
protein	CE5343_c
protein	CE5343_m
protein	CE5343_r
protein	CE5343_x
protein	CE5344_c
protein	CE5344_m
protein	CE5344_x
protein	CE5345_c
protein	CE5345_m
protein	CE5345_x
protein	CE5346_c
protein	CE5346_m
protein	CE5346_x
protein	CE5347_m
protein	CE5347_x
protein	CE5348_c
protein	CE5348_m
protein	CE5348_r
protein	CE5348_x
protein	CE5349_c
protein	CE5349_m
protein	CE5349_r
protein	CE5349_x
protein	CE5352_c
protein	CE5352_r
protein	CE5525_c
protein	CE5525_m
protein	CE5525_x
protein	CE5531_c
protein	CE5531_m
protein	CE5531_r
protein	CE5531_x
protein	CE5533_c
protein	CE5534_c
protein	CE5535_c
protein	CE5537_c
protein	CE5700_c
protein	CE5700_r
protein	CE5726_c
protein	CE5727_c
protein	CE5828_c
protein	CE5924_c
protein	CE5925_c
protein	CE5926_c
protein	CE5928_c
protein	CE5929_c
protein	CE5930_c
protein	CE5931_c
protein	CE5944_c
protein	CE5944_m
protein	CE5944_x
protein	CE5945_c
protein	CE5945_r
protein	CE5946_c
protein	CE5946_r
protein	CE5947_c
protein	CE5947_m
protein	CE5947_x
protein	CE5966_c
protein	CE5966_m
protein	CE5966_x
protein	CE5967_c
protein	CE5967_m
protein	CE5967_x
protein	CE5968_c
protein	CE5968_m
protein	CE5968_x
protein	CE5969_c
protein	CE5969_m
protein	CE5969_r
protein	CE5969_x
protein	CE5970_m
protein	CE5970_x
protein	CE5971_c
protein	CE5971_m
protein	CE5971_x
protein	CE5976_c
protein	CE5976_m
protein	CE5976_x
protein	CE5994_x
protein	CE5995_x
protein	CE6182_c
protein	CE6182_m
protein	CE6182_r
protein	CE6182_x
protein	CE6183_c
protein	CE6183_m
protein	CE6183_x
protein	CE6184_c
protein	CE6184_m
protein	CE6184_x
protein	CE6185_c
protein	CE6185_m
protein	CE6185_x
protein	CE6186_m
protein	CE6186_x
protein	CE6187_c
protein	CE6187_m
protein	CE6187_x
protein	CE6188_x
protein	CE6189_x
protein	CE6190_x
protein	CE6191_x
protein	CE6192_x
